IMAGE_index, class, x, y
0000625, 1, 0.4921875, 0.3984375
0000625, 5, 0.0390625, 0.0078125
0000625, 8, 0.7734375, 0.1484375
0000634, 0, 0.6015625, 0.7734375
0000634, 1, 0.1015625, 0.2734375
0000634, 9, 0.3828125, 0.1796875
0000634, 9, 0.3671875, 0.6171875
0000637, 0, 0.3359375, 0.2265625
0000637, 0, 0.7421875, 0.3515625
0000637, 3, 0.2578125, 0.5078125
0000637, 3, 0.1640625, 0.7265625
0000645, 0, 0.3671875, 0.2734375
0000645, 0, 0.0546875, 0.5390625
0000653, 0, 0.4453125, 0.3984375
0000653, 3, 0.7578125, 0.5234375
0000653, 4, 0.0546875, 0.2734375
0000653, 7, 0.7578125, 0.0703125
0000655, 0, 0.2578125, 0.6171875
0000655, 2, 0.2734375, 0.3515625
0000655, 4, 0.7734375, 0.4921875
0000655, 5, 0.5078125, 0.4453125
0000658, 0, 0.0546875, 0.5078125
0000658, 7, 0.4453125, 0.3203125
0000658, 9, 0.6953125, 0.7578125
0000661, 0, 0.6015625, 0.6796875
0000661, 5, 0.1640625, 0.3359375
0000661, 9, 0.1171875, 0.7109375
0000667, 0, 0.3984375, 0.5859375
0000667, 4, 0.0859375, 0.1015625
0000668, 0, 0.1484375, 0.0703125
0000668, 1, 0.5859375, 0.3203125
0000668, 3, 0.5546875, 0.5859375
0000668, 9, 0.0546875, 0.5390625
0000669, 0, 0.0546875, 0.2734375
0000669, 5, 0.1015625, 0.0390625
0000669, 6, 0.3984375, 0.4765625
0000669, 7, 0.1484375, 0.5078125
0000673, 0, 0.1328125, 0.2109375
0000673, 0, 0.4765625, 0.2421875
0000673, 3, 0.4296875, 0.6640625
0000673, 3, 0.1328125, 0.7109375
0000680, 0, 0.1015625, 0.0546875
0000680, 1, 0.7421875, 0.2109375
0000680, 1, 0.3984375, 0.2578125
0000683, 0, 0.1484375, 0.1328125
0000683, 2, 0.1796875, 0.4296875
0000683, 5, 0.5546875, 0.1796875
0000683, 6, 0.0078125, 0.7265625
0000696, 0, 0.6171875, 0.0078125
0000696, 5, 0.4296875, 0.6171875
0000696, 7, 0.7265625, 0.5546875
0000696, 9, 0.1953125, 0.3984375
0000697, 0, 0.4609375, 0.5078125
0000697, 3, 0.2421875, 0.7265625
0000697, 8, 0.1328125, 0.0390625
0000698, 0, 0.1015625, 0.1015625
0000698, 2, 0.4921875, 0.1328125
0000700, 0, 0.7109375, 0.4921875
0000700, 1, 0.7578125, 0.2890625
0000700, 1, 0.0546875, 0.6640625
0000700, 7, 0.1171875, 0.2734375
0000710, 0, 0.5859375, 0.5078125
0000710, 1, 0.3828125, 0.2265625
0000710, 6, 0.6796875, 0.0859375
0000722, 0, 0.2734375, 0.3046875
0000722, 0, 0.4453125, 0.5703125
0000722, 3, 0.6015625, 0.0234375
0000722, 7, 0.7578125, 0.5390625
0000726, 0, 0.0546875, 0.4296875
0000726, 1, 0.7265625, 0.0078125
0000726, 4, 0.0078125, 0.0546875
0000726, 7, 0.3828125, 0.3203125
0000751, 0, 0.4453125, 0.3828125
0000751, 6, 0.1484375, 0.0078125
0000752, 0, 0.6484375, 0.7421875
0000752, 4, 0.0859375, 0.1171875
0000752, 4, 0.5078125, 0.4609375
0000752, 5, 0.1171875, 0.5234375
0000754, 0, 0.1484375, 0.5390625
0000754, 6, 0.6640625, 0.3671875
0000754, 9, 0.3359375, 0.0234375
0000757, 0, 0.1953125, 0.2734375
0000757, 4, 0.4296875, 0.1796875
0000757, 4, 0.5078125, 0.7109375
0000757, 7, 0.5390625, 0.3984375
0000758, 0, 0.6640625, 0.3515625
0000758, 8, 0.1640625, 0.2421875
0000760, 0, 0.5546875, 0.7734375
0000760, 4, 0.1640625, 0.3671875
0000761, 0, 0.0703125, 0.6640625
0000761, 5, 0.7109375, 0.2265625
0000769, 0, 0.1796875, 0.7421875
0000769, 4, 0.7421875, 0.6328125
0000769, 7, 0.5078125, 0.3359375
0000793, 0, 0.4921875, 0.1484375
0000793, 0, 0.7109375, 0.1796875
0000793, 7, 0.5234375, 0.7578125
0000803, 0, 0.6171875, 0.7265625
0000803, 3, 0.7109375, 0.4140625
0000803, 5, 0.6640625, 0.0078125
0000803, 5, 0.4921875, 0.2890625
0000808, 0, 0.7265625, 0.4765625
0000808, 5, 0.0234375, 0.7578125
0000808, 6, 0.4921875, 0.2734375
0000808, 6, 0.3203125, 0.6171875
0000809, 0, 0.5703125, 0.3203125
0000809, 3, 0.2734375, 0.6953125
0000809, 8, 0.2890625, 0.3671875
0000809, 8, 0.0234375, 0.6484375
0000817, 0, 0.0703125, 0.3828125
0000817, 6, 0.4453125, 0.3671875
0000836, 0, 0.7265625, 0.3828125
0000836, 7, 0.4921875, 0.7578125
0000836, 8, 0.3671875, 0.4296875
0000845, 0, 0.4140625, 0.2109375
0000845, 2, 0.3359375, 0.4296875
0000845, 2, 0.5703125, 0.7734375
0000846, 0, 0.5078125, 0.5703125
0000846, 1, 0.1171875, 0.2421875
0000846, 2, 0.1953125, 0.0078125
0000846, 2, 0.7578125, 0.3046875
0000855, 0, 0.7578125, 0.0546875
0000855, 0, 0.5703125, 0.7265625
0000855, 2, 0.1484375, 0.6171875
0000856, 0, 0.0546875, 0.0390625
0000856, 2, 0.1640625, 0.4609375
0000856, 3, 0.6328125, 0.5546875
0000856, 5, 0.4609375, 0.1484375
0000862, 0, 0.2421875, 0.7109375
0000862, 5, 0.5546875, 0.2734375
0000865, 0, 0.3828125, 0.4296875
0000865, 2, 0.0703125, 0.2109375
0000865, 5, 0.7109375, 0.1015625
0000865, 9, 0.3515625, 0.7421875
0000871, 0, 0.7109375, 0.1796875
0000871, 0, 0.0546875, 0.1953125
0000871, 1, 0.5234375, 0.4453125
0000871, 3, 0.5390625, 0.7109375
0000878, 0, 0.6953125, 0.0078125
0000878, 0, 0.2421875, 0.3046875
0000878, 0, 0.6171875, 0.5859375
0000878, 1, 0.0859375, 0.7109375
0000885, 0, 0.2265625, 0.7421875
0000885, 6, 0.7578125, 0.3203125
0000885, 8, 0.4453125, 0.2421875
0000887, 0, 0.0703125, 0.2890625
0000887, 2, 0.6796875, 0.5234375
0000894, 0, 0.3046875, 0.3359375
0000894, 4, 0.1953125, 0.5703125
0000894, 8, 0.4765625, 0.7265625
0000895, 0, 0.2421875, 0.0078125
0000895, 0, 0.2265625, 0.2734375
0000895, 0, 0.1640625, 0.6328125
0000895, 1, 0.5703125, 0.3671875
0000899, 0, 0.6171875, 0.2578125
0000899, 0, 0.4140625, 0.7421875
0000899, 8, 0.6640625, 0.0078125
0000899, 8, 0.0390625, 0.2265625
0000902, 0, 0.2578125, 0.6640625
0000902, 4, 0.7734375, 0.1640625
0000902, 7, 0.5390625, 0.5234375
0000909, 0, 0.1953125, 0.6953125
0000909, 2, 0.4765625, 0.0234375
0000909, 4, 0.7734375, 0.1953125
0000909, 9, 0.3359375, 0.3359375
0000911, 0, 0.1015625, 0.4296875
0000911, 7, 0.3515625, 0.0390625
0000913, 0, 0.3984375, 0.2890625
0000913, 0, 0.1015625, 0.3359375
0000913, 5, 0.6640625, 0.4921875
0000913, 6, 0.4453125, 0.0234375
0000918, 0, 0.1015625, 0.6484375
0000918, 7, 0.6953125, 0.0390625
0000922, 0, 0.3515625, 0.1796875
0000922, 1, 0.7421875, 0.3828125
0000922, 2, 0.0390625, 0.3984375
0000922, 4, 0.0234375, 0.1796875
0000931, 0, 0.5703125, 0.1953125
0000931, 0, 0.3828125, 0.4765625
0000931, 2, 0.0234375, 0.0546875
0000931, 7, 0.5390625, 0.7265625
0000936, 0, 0.2734375, 0.4453125
0000936, 7, 0.5390625, 0.7421875
0000956, 0, 0.5234375, 0.5078125
0000956, 1, 0.2109375, 0.6640625
0000964, 0, 0.7109375, 0.3046875
0000964, 2, 0.3515625, 0.6015625
0000964, 4, 0.6328125, 0.6796875
0000964, 5, 0.0078125, 0.7109375
0000968, 0, 0.0859375, 0.4921875
0000968, 8, 0.4765625, 0.2421875
0000971, 0, 0.3359375, 0.0703125
0000971, 4, 0.6640625, 0.1015625
0000971, 6, 0.2421875, 0.2890625
0000971, 9, 0.6015625, 0.4453125
0000975, 0, 0.3359375, 0.2421875
0000975, 1, 0.4140625, 0.6796875
0000975, 2, 0.0390625, 0.6171875
0000975, 5, 0.7578125, 0.3046875
0000981, 0, 0.4140625, 0.2578125
0000981, 0, 0.7421875, 0.2734375
0000981, 5, 0.1171875, 0.7578125
0000981, 8, 0.6484375, 0.7265625
0000988, 0, 0.2734375, 0.0703125
0000988, 6, 0.0703125, 0.5234375
0000993, 0, 0.6015625, 0.6953125
0000993, 3, 0.3203125, 0.2890625
0000994, 0, 0.1171875, 0.2421875
0000994, 1, 0.7265625, 0.2265625
0000994, 2, 0.4453125, 0.6484375
0001000, 0, 0.3515625, 0.1796875
0001000, 0, 0.7578125, 0.3359375
0001000, 2, 0.0390625, 0.1328125
0001000, 8, 0.7421875, 0.0546875
0001006, 0, 0.6484375, 0.2265625
0001006, 1, 0.5234375, 0.5546875
0001006, 8, 0.2890625, 0.5859375
0001006, 9, 0.3828125, 0.1640625
0001007, 0, 0.6484375, 0.5390625
0001007, 7, 0.3671875, 0.5546875
0001009, 0, 0.3359375, 0.1171875
0001009, 3, 0.5078125, 0.3828125
0001009, 5, 0.0390625, 0.4453125
0001009, 7, 0.2890625, 0.3828125
0001011, 0, 0.7578125, 0.1796875
0001011, 0, 0.5546875, 0.5859375
0001011, 2, 0.3359375, 0.3984375
0001014, 0, 0.5703125, 0.0078125
0001014, 9, 0.1640625, 0.2578125
0001019, 0, 0.3984375, 0.7421875
0001019, 1, 0.7265625, 0.0390625
0001034, 0, 0.6015625, 0.3359375
0001034, 0, 0.3671875, 0.4140625
0001035, 0, 0.5859375, 0.1171875
0001035, 3, 0.7421875, 0.7265625
0001039, 0, 0.6953125, 0.6953125
0001039, 7, 0.1953125, 0.7421875
0001042, 0, 0.4765625, 0.0859375
0001042, 3, 0.0234375, 0.3203125
0001042, 6, 0.7265625, 0.1328125
0001042, 7, 0.6796875, 0.6015625
0001044, 0, 0.1015625, 0.3984375
0001044, 0, 0.5546875, 0.5859375
0001044, 0, 0.3203125, 0.7265625
0001044, 3, 0.5234375, 0.0859375
0001045, 0, 0.7265625, 0.5703125
0001045, 2, 0.1640625, 0.1328125
0001045, 6, 0.1953125, 0.5546875
0001045, 8, 0.4765625, 0.3515625
0001046, 0, 0.6953125, 0.5390625
0001046, 3, 0.1953125, 0.0234375
0001046, 8, 0.1796875, 0.4609375
0001050, 0, 0.5859375, 0.2109375
0001050, 3, 0.0546875, 0.0703125
0001050, 5, 0.2421875, 0.3515625
0001050, 6, 0.5546875, 0.7578125
0001052, 0, 0.0859375, 0.1796875
0001052, 2, 0.5078125, 0.0703125
0001052, 5, 0.3671875, 0.4765625
0001052, 5, 0.5078125, 0.7265625
0001062, 0, 0.6171875, 0.0234375
0001062, 2, 0.3671875, 0.6015625
0001062, 4, 0.1484375, 0.2734375
0001062, 6, 0.1015625, 0.0234375
0001065, 0, 0.6640625, 0.3515625
0001065, 9, 0.1953125, 0.3984375
0001072, 0, 0.1484375, 0.1640625
0001072, 4, 0.3828125, 0.0859375
0001077, 0, 0.1953125, 0.6328125
0001077, 3, 0.6484375, 0.5078125
0001078, 0, 0.2890625, 0.5703125
0001078, 1, 0.0078125, 0.2421875
0001082, 0, 0.3828125, 0.0703125
0001082, 0, 0.3828125, 0.3984375
0001082, 6, 0.1171875, 0.6171875
0001083, 0, 0.1796875, 0.2421875
0001083, 5, 0.2578125, 0.6953125
0001085, 0, 0.5390625, 0.2421875
0001085, 4, 0.7734375, 0.4453125
0001085, 6, 0.3046875, 0.5546875
0001091, 0, 0.0234375, 0.5390625
0001091, 4, 0.5546875, 0.5546875
0001091, 9, 0.4296875, 0.1484375
0001093, 0, 0.1484375, 0.3671875
0001093, 1, 0.1953125, 0.6953125
0001099, 0, 0.6640625, 0.6328125
0001099, 5, 0.5234375, 0.2578125
0001099, 6, 0.4296875, 0.0078125
0001099, 9, 0.2734375, 0.6171875
0001106, 0, 0.5390625, 0.0078125
0001106, 0, 0.7734375, 0.4921875
0001106, 0, 0.3984375, 0.5234375
0001106, 9, 0.3515625, 0.7734375
0001107, 0, 0.0078125, 0.4609375
0001107, 2, 0.4609375, 0.1953125
0001115, 0, 0.1171875, 0.6640625
0001115, 2, 0.2734375, 0.2109375
0001115, 8, 0.0078125, 0.2734375
0001119, 0, 0.6640625, 0.3515625
0001119, 5, 0.1640625, 0.2109375
0001124, 0, 0.3359375, 0.4609375
0001124, 2, 0.3203125, 0.2421875
0001124, 3, 0.0859375, 0.7109375
0001124, 7, 0.4453125, 0.0078125
0001129, 0, 0.6328125, 0.0703125
0001129, 3, 0.0859375, 0.4140625
0001129, 5, 0.5078125, 0.3984375
0001129, 8, 0.4296875, 0.6484375
0001133, 0, 0.0390625, 0.1796875
0001133, 1, 0.4609375, 0.2109375
0001133, 4, 0.7421875, 0.1640625
0001133, 6, 0.2109375, 0.6328125
0001134, 0, 0.3984375, 0.6015625
0001134, 6, 0.7265625, 0.5234375
0001152, 0, 0.1640625, 0.1015625
0001152, 7, 0.0703125, 0.6171875
0001156, 0, 0.0703125, 0.2421875
0001156, 2, 0.3046875, 0.5703125
